player_id,player,position,ht_inches,weight,bmi,current_team,birth_date,birth_place,death_date,life_span_yrs,college,high_school,draft_team,draft_round,draft_position,draft_year,current_salary,induct.year,from,to,1st.team.ap,pro_bowl,years.starter,career.avg.value,games,completions,pass.att,pass.yds,pass.td,longest.pass,int,times.sacked,sack.yds.lost,rush.att,rush.yds,rush.td,longest.rush,receptions,rec.yds,rec.tds,longest.rec
5605,Eric Dickerson,RB,75,220,27.555610666776886,NA,1960-09-02,"Sealy, TX",NA,NA,SMU,"Sealy, TX",Los Angeles Rams,1,2,1983,NA,1999,1983,1993,5,6,10,91,146,1,2,15,1,15,1,1,6,2996,13259,90,85,281,2137,6,50
18564,Jerry Rice,WR,74,200,25.7321717910585,NA,1962-10-13,"Crawford, MS",NA,NA,Miss. Valley St.,"B.L. Moor, MS",San Francisco 49ers,1,16,1985,NA,2010,1985,2004,10,13,18,159,303,3,10,71,1,41,1,0,0,87,645,10,43,1549,22895,197,96
22322,Mick Tingelhoff,C,74,237,30.49262357240432,NA,1940-05-22,"Lexington, NE",NA,NA,Nebraska,"Lexington, NE",NA,NA,NA,NA,NA,2015,1962,1978,5,6,17,102,240,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13596,Ronnie Lott,DB,72,203,27.589315840809007,NA,1959-05-08,"Albuquerque, NM",NA,NA,USC,"Eisenhower, CA",San Francisco 49ers,1,8,1981,NA,2000,1981,1994,6,10,14,118,192,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9949,Elroy Hirsch,E,74,190,24.445563201505575,NA,1923-06-17,"Wausau, WI",2004-01-28,80.6712328767123,Wisconsin,"Wausau, WI",Cleveland Rams,1,5,1945,NA,1968,1946,1957,2,3,9,0,127,12,22,156,1,0,2,NA,NA,207,687,3,51,387,7029,60,91
20547,Bruce Smith,DE,72,197,26.77386808196736,NA,1920-02-08,"Faribault, MN",1967-08-28,47.5835616438356,Minnesota,"Faribault, MN",Green Bay Packers,13,119,1942,NA,2009,1985,2003,8,11,18,147,279,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,NA,NA,NA,NA
9554,Mel Hein,C,74,225,28.94869326494081,NA,1909-08-22,"Redding, CA",1992-01-31,82.4986301369863,Washington St.,"Burlington, WA",NA,NA,NA,NA,NA,1963,1931,1945,5,4,15,0,170,0,1,0,0,0,0,NA,NA,1,1,0,1,2,20,0,13
20069,Art Shell,T,77,265,31.490119558843503,NA,1946-11-26,"Charleston, SC",NA,NA,Md-Eastern Shore,"Bonds-Wilson, SC",Oakland Raiders,3,80,1968,NA,1989,1968,1982,2,8,12,92,207,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21043,Bob St. Clair,T,81,263,28.242009623091725,NA,1931-02-18,"San Francisco, CA",2015-04-20,84.2246575342466,San Francisco,"San Francisco Polytechnic, CA",San Francisco 49ers,3,32,1953,NA,1990,1953,1963,0,5,11,24,119,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21633,Lynn Swann,WR,71,180,25.157396440200895,NA,1952-03-07,"Alcoa, TN",NA,NA,USC,"Junipero Serra, CA",Pittsburgh Steelers,1,21,1974,NA,2001,1974,1982,1,3,8,62,116,NA,NA,NA,NA,NA,NA,NA,NA,11,72,1,25,336,5462,51,68
21878,Lawrence Taylor,LB,75,237,29.684907854664193,NA,1959-02-04,"Williamsburg, VA",NA,NA,North Carolina,"Lafayette, VA",New York Giants,1,2,1981,NA,1999,1981,1993,8,10,13,137,184,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16036,Anthony Munoz,T,78,278,32.19329850290804,NA,1958-08-19,"Ontario, CA",NA,NA,USC,"Chaffey, CA",Cincinnati Bengals,1,3,1980,NA,1998,1980,1992,9,11,12,133,185,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,18,4,12
18758,Willie Roaf,T,77,320,38.02580475030159,NA,1970-04-18,"Pine Bluff, AR",NA,NA,Louisiana Tech,"Pine Bluff, AR",New Orleans Saints,1,8,1993,NA,2012,1993,2005,3,11,12,107,189,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19509,Warren Sapp,DT,74,303,38.98424026345363,NA,1972-12-19,"Orlando, FL",NA,NA,Miami (FL),"Apopka, FL",Tampa Bay Buccaneers,1,12,1995,NA,2013,1995,2007,4,7,12,117,198,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,39,2,18
7376,Benny Friedman,TB,70,183,26.312668580810254,NA,1905-03-18,"Cleveland, OH",1982-11-23,77.7369863013699,Michigan,"East Tech, OH",NA,NA,NA,NA,NA,2005,1927,1934,4,0,7,0,81,70,167,929,66,0,19,NA,NA,152,458,18,0,5,67,0,0
5632,Dan Dierdorf,T,75,275,34.44451333347111,NA,1949-06-29,"Canton, OH",NA,NA,Michigan,"Glenwood, OH",St. Louis Cardinals,2,43,1971,NA,1996,1971,1983,3,6,10,77,160,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4899,Curley Culp,DT,74,265,34.09512762315251,NA,1946-03-10,"Yuma, AZ",NA,NA,Arizona St.,"Yuma, AZ",Denver Broncos,2,31,1968,NA,2013,1968,1981,1,6,11,76,179,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12239,Bruiser Kinard,T,73,216,28.557350824932115,NA,1914-10-23,"Pelahatchie, MS",1985-09-07,70.9232876712329,Mississippi,"Central, MS",Brooklyn Dodgers,3,18,1938,NA,1971,1938,1947,4,5,8,0,101,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,62,1,36
15465,Bobby Mitchell,FL,72,192,26.094328282932658,NA,1935-06-06,"Hot Springs, AR",NA,NA,Illinois,"Langston, AR",Cleveland Browns,7,84,1958,NA,1983,1958,1968,1,4,10,88,148,3,3,61,1,23,0,NA,NA,513,2735,18,90,521,7954,65,99
